,title,price,date,review
0,Nintendo 젤다의 전설 스카이워드 소드 HD SWITCH,"54,920",2021.07,157
1,Nintendo 링 피트 어드벤처 SWITCH,"73,950",2019.10,"2,058"
2,캡콤 몬스터 헌터 스토리즈 2: 윙스 오브 루인 SWITCH,"63,550",2021.07,106
3,Nintendo 젤다의 전설 브레스 오브 더 와일드 SWITCH,"57,780",2018.02,"4,077"
4,Nintendo 슈퍼 마리오 파티 SWITCH,"49,980",2018.10,"2,329"
5,Nintendo 모여봐요 동물의 숲 SWITCH,"50,070",2020.03,"4,482"
6,Nintendo 슈퍼 스매시브라더스 얼티밋 SWITCH,"50,070",2018.12,"1,254"
7,Nintendo 마리오 골프 슈퍼 러쉬 SWITCH,"52,110",2021.06,87
8,Supergiant Games 하데스 SWITCH,"31,750",2021.07,31
9,Nintendo 미토피아 SWITCH,"47,400",2021.05,263
10,Nintendo 포켓몬스터 소드 SWITCH,"50,070",2019.11,"1,523"
11,Nintendo 차근차근 게임 코딩 SWITCH,"33,260",2021.06,63
12,Nintendo 슈퍼 마리오 오디세이 SWITCH,"51,970",2017.12,"2,031"
13,유비소프트 저스트 댄스 2021 SWITCH,"53,960",2020.11,656
14,Nintendo 마리오 카트 8 디럭스 SWITCH,"50,070",2017.12,"3,522"
15,캡콤 몬스터 헌터 라이즈 SWITCH,"60,790",2021.03,822
16,코에이 테크모 대항해시대4 with 파워업키트 HD 버전 SWITCH,"43,310",2021.05,36
17,Nintendo 슈퍼 마리오 3D 월드 + 퓨리 월드 SWITCH,"52,640",2021.02,"1,390"
18,Nintendo 마리오 카트 8 디럭스 + 조이콘 휠 그립 패키지 SWITCH,"56,480",2017.12,321
19,Nintendo 제노블레이드 크로니클스 디피니티브 에디션 SWITCH,"23,990",2020.05,236
20,스퀘어에닉스 로맨싱 사가 3 SWITCH,"45,790",2021.08,0
21,SNK 네오지오 포켓 컬러 셀렉션 Vol.1,"38,530",2021.07,5
22,Nintendo 뉴 슈퍼 마리오브라더스 U 디럭스 SWITCH,"52,250",2019.01,"1,321"
23,Nintendo 파이어 엠블렘 풍화설월 SWITCH,"50,070",2019.07,505
24,코에이 테크모 버디 미션 본드 SWITCH,"57,930",2021.08,0
25,MOJANG 마인크래프트 SWITCH,"29,320",2020.01,770
26,코에이 테크모 젤다무쌍 대재앙의 시대 SWITCH,"49,870",2020.11,"1,135"
27,유비소프트 저스트 댄스 2020 SWITCH,"35,340",2019.11,699
28,Nintendo 마리오 테니스 에이스 + 조이콘 테니스 라켓 패키지 SWITCH,"57,800",2018.06,18
29,KONAMI 프로야구 스피리츠 2021 그랜드 슬램 SWITCH,"62,950",2021.07,33
30,Nintendo 마리오 카트 라이브: 홈 서킷 SWITCH,"72,720",2020.12,158
31,Nintendo 제노블레이드 크로니클스 2 SWITCH,"50,620",2020.09,158
32,Nintendo 마리오 테니스 에이스 SWITCH,"49,980",2018.06,502
33,EA 피파 21 SWITCH,"39,740",2020.10,323
34,Dreams Uncorporated 크리스 테일즈 SWITCH,"41,090",2021.07,1
35,Nintendo 별의 커비 스타 얼라이즈 SWITCH,"50,070",2018.04,"1,745"
36,Nintendo 포켓몬스터: 레츠고! 피카츄 SWITCH,"52,490",2018.11,753
37,캡콤 역전재판 123 나루호도 셀렉션 SWITCH,"32,850",2019.04,122
38,네오스 짱구는 못말려 나와 박사의 여름방학 ~끝나지 않는 7일간의 여행~ SWITCH,"75,470",2021.06,0
39,그래스호퍼 매뉴팩처 노 모어 히어로즈 3 SWITCH,"64,140",2021.08,0
40,컴파일하트 신옥탑 메리스켈터 파이널 SWITCH,"59,320",2021.07,0
41,Nintendo 요시 크래프트 월드 SWITCH,"56,060",2019.03,341
42,Nintendo 피트니스 복싱 2: 리듬 앤 엑서사이즈 SWITCH,"44,280",2020.12,393
43,Nintendo 젤다의 전설 꿈꾸는 섬 SWITCH,"49,980",2019.09,424
44,Nintendo 포켓몬스터: 레츠고! 피카츄 / 이브이 선택 + 몬스터볼 패키지 SWITCH,"66,630",2018.11,657
45,Nintendo 페이퍼 마리오 종이접기 킹 SWITCH,"50,070",2020.07,450
46,거스트 네르케와 전설의 연금술사들 ~새로운 대지의 아틀리에~ SWITCH,"18,360",2019.03,40
47,Nintendo 슈퍼 마리오 3D 컬렉션 SWITCH,"45,840",2020.09,412
48,Nintendo 뉴 포켓몬 스냅 SWITCH,"50,070",2021.04,106
49,거스트 라이자의 아틀리에 ~어둠의 여왕과 비밀의 은신처~ SWITCH,"45,500",2020.01,141
50,Nintendo 슈퍼 마리오 메이커 2 SWITCH,"50,070",2019.06,830
51,마벨러스 엔터테인먼트 룬 팩토리 5 SWITCH,"58,240",2021.09,0
52,팀 17 오버쿡! 올 유 캔 잇 SWITCH,"44,190",2021.03,28
53,스퀘어에닉스 애스트럴 체인 SWITCH,"53,260",2019.08,134
54,스퀘어에닉스 브레이블리 디폴트 2 SWITCH,"42,000",2021.02,141
55,니폰이치 소프트웨어 보이드 테라리움 SWITCH,"47,120",2021.07,0
56,인티 크리에이츠 블래스터 마스터 제로 트릴로지 SWITCH,"54,440",2021.07,0
57,반다이남코 패밀리 트레이너 SWITCH,"44,640",2021.04,60
58,Nintendo 마리오와 소닉 AT 2020 도쿄 올림픽 SWITCH,"38,460",2019.11,320
59,옵시디언 엔터테인먼트 디 아우터 월드 SWITCH,"10,480",2020.06,14
60,블리자드 디아블로 2 레저렉션 SWITCH,출시예정,2021.09,0
61,Nintendo 루이지 맨션 3 SWITCH,"52,200",2019.10,834
62,스퀘어에닉스 성검전설 레전드 오브 마나 SWITCH,"34,940",2021.06,50
63,Nintendo 포켓몬스터 실드 SWITCH,"50,070",2019.11,871
64,스퀘어에닉스 옥토패스 트래블러 SWITCH,"44,220",2020.07,153
65,마벨러스 엔터테인먼트 천수의 사쿠나히메 SWITCH,"48,150",2020.11,139
66,Nintendo 스플래툰 2 SWITCH,"52,890",2019.05,427
67,거스트 라이자의 아틀리에2 ~잃어버린 전승과 비밀의 요정~ SWITCH,"41,480",2020.12,106
68,Nintendo 포켓몬스터 소드/실드 익스팬션 패스 SWITCH,"23,930",2020.08,368
69,그란젤라 알타입 파이널 2 SWITCH,"45,400",2021.04,14
70,세가 소닉 컬러즈 얼티밋 SWITCH,"33,440",2021.09,0
71,반다이남코 SD건담 지 제네레이션 크로스 레이즈 SWITCH,"26,200",2019.11,95
72,Nintendo 매일매일 닌텐도 스위치 두뇌 트레이닝 SWITCH,"24,900",2020.07,239
73,아틀러스 캐서린 풀보디 SWITCH,"42,680",2020.07,132
74,반다이남코 나루토 질풍전 나루티밋 스톰 4 로드 투 보루토 SWITCH,"41,990",2020.04,86
75,컴파일하트 용의 별 바르니르 SWITCH,"53,940",2021.08,0
76,세가 하츠네 미쿠 -프로젝트 디바- MEGA39s SWITCH,"23,890",2020.02,58
77,니폰이치 소프트웨어 나쁜 왕과 훌륭한 용사 SWITCH,"43,750",2021.09,0
78,Nintendo 젤다의 전설 브레스 오브 더 와일드 익스팬션 패스 SWITCH,"98,802",2018.02,229
79,2K 게임즈 NBA 2K21 SWITCH,"19,780",2020.09,64
80,Nintendo 암즈 SWITCH,"54,100",2018.04,656
81,반다이남코 틀린 그림 찾기 전집 -우뇌의 달인- SWITCH,"28,110",2021.04,49
82,니폰이치 소프트웨어 마계전기 디스가이아 6 SWITCH,"44,520",2021.05,9
83,MOJANG 마인크래프트 던전스 SWITCH,"31,980",2020.09,335
84,퀀틱드림 시 오브 솔리튜드 - 더 디렉터즈 컷 SWITCH,"19,360",2021.03,2
85,스퀘어에닉스 드래곤 퀘스트 11 S -지나간 시간을 찾아서- 디피니티브 에디션 SWITCH,"55,010",2019.09,249
86,반다이남코 원피스 해적무쌍4 SWITCH,"39,690",2020.03,119
87,아트딩크 A열차로 가자 -시작해요 관광지 개발- SWITCH,"54,610",2021.03,16
88,팔콤 영웅전설 섬의 궤적 1 : Kai -Thors Military Academy 1204- SWITCH,"37,530",2021.06,21
89,반다이남코 태고의 달인 Nintendo Switch 버~전! SWITCH,"39,070",2018.07,267
90,유비소프트 이모탈 피닉스 라이징 SWITCH,"28,500",2020.12,138
91,반다이남코 리틀 나이트메어 2 SWITCH,"29,190",2021.02,69
92,스퀘어에닉스 밸런 원더월드 SWITCH,"26,700",2021.03,0
93,세가 뿌요뿌요 테트리스 2 SWITCH,"43,570",2020.12,25
94,아틀러스 진 여신전생 3 녹턴 HD 리마스터 SWITCH,"32,020",2020.10,16
95,반다이남코 슈퍼로봇대전 T SWITCH,"76,800",2019.03,129
96,인티 크리에이츠 걸 건 리턴즈 SWITCH,"50,550",2021.01,10
97,2K 게임즈 시드마이어의 문명 6 SWITCH,"23,060",2018.11,21
98,Nintendo 커비 파이터즈 2 SWITCH,"17,960",2020.12,54
99,SNK 사무라이 쇼다운 SWITCH,"22,000",2019.12,145
100,아크 시스템 웍스 드래곤볼 파이터즈 SWITCH,"36,300",2018.09,116
101,2K 게임즈 바이오쇼크 더 컬렉션 SWITCH,"29,080",2020.05,15
102,반다이남코 소드 아트 온라인 할로우 리얼라이제이션 디럭스 에디션 SWITCH,"34,730",2019.04,70
103,MOSS 라이덴 4 미카도 리믹스 SWITCH,"34,800",2021.05,9
104,세가 투 포인트 호스피탈 점보 에디션 SWITCH,"35,740",2021.03,40
105,Kadokawa 랑그릿사 1 & 2 SWITCH,"31,040",2019.10,51
106,반다이남코 슈퍼로봇대전 X SWITCH,"54,410",2020.01,119
107,어콰이어 아키바즈 트립: 헬바운드 & 디브리프드 SWITCH,"37,020",2021.05,3
108,세가 2020 도쿄 올림픽 -The Official Video Game SWITCH,"38,910",2019.07,140
109,Nintendo 포켓몬스터: 레츠고! 이브이 SWITCH,"44,840",2018.11,307
110,코에이 테크모 젤다무쌍 대재앙의 시대 익스팬션 패스 SWITCH,"23,513",2020.11,1
111,그래스호퍼 매뉴팩처 트래비스 스트라이크스 어게인: 노 모어 히어로즈 SWITCH,"33,820",2019.01,5
112,Nintendo 피크민 3 디럭스 SWITCH,"53,990",2020.10,227
113,Furyu 도라에몽 진구의 달탐사기 SWITCH,"29,780",2020.04,12
114,2K 게임즈 엑스컴2 컬렉션 SWITCH,"25,110",2020.05,21
115,KONAMI 콘트라 로그 콥스 SWITCH,"9,790",2019.09,48
116,HB Studios PGA 투어 2K21 SWITCH,"23,510",2020.09,32
117,아크 시스템 웍스 길티기어 20주년 기념팩 SWITCH,"16,560",2019.05,24
118,팔콤 영웅전설 제로의 궤적 Kai SWITCH,"32,290",2021.02,54
119,넥스트플로어 창세기전: 회색의 잔영 SWITCH,출시예정,2022.12,0
120,Nintendo 제노블레이드 크로니클스 2 황금의 나라 이라 SWITCH,"41,990",2018.09,3
121,니폰이치 소프트웨어 마계전기 디스가이아 5 SWITCH,"38,990",2017.12,9
122,반다이남코 엘든 링 SWITCH,출시예정,2022.01,0
123,2K 게임즈 WWE 2K 배틀그라운드 SWITCH,"19,250",2020.09,37
124,Nintendo 51 월드와이드 게임즈 SWITCH,"44,352",2020.06,14
125,아크 시스템 웍스 블레이블루 크로스 태그 배틀 스페셜 에디션 SWITCH,"9,800",2019.11,13
